@relation cleaned_credit-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R1

@attribute checking_amt numeric
@attribute duration numeric
@attribute credit_history {'critical/other existing credit','existing paid','delayed previously','no credit history','no credits/all paid','all paid'}
@attribute purpose {radio/tv,education,furniture/equipment,Unknown,'used car','new car',business,'domestic appliance',repairs,other,retraining}
@attribute credit_amount numeric
@attribute savings numeric
@attribute employment {>=7,1<=X<4,4<=X<7,Unknown,unemployed,<1}
@attribute installment_commitment numeric
@attribute personal_status {'male single','female div/dep/mar','male div/sep','male mar/wid',Unknown}
@attribute other_parties {none,Unknown,guarantor,'co applicant'}
@attribute residence_since numeric
@attribute property_magnitude {'real estate',Other,'life insurance','no known property',car}
@attribute age numeric
@attribute other_payment_plans {none,Other,bank,stores}
@attribute housing {own,Other,'for free',rent}
@attribute existing_credits numeric
@attribute job {skilled,'unskilled resident','high qualif/self emp/mgmt',Other,'unemp/unskilled non res'}
@attribute own_telephone {yes,none,no}
@attribute foreign_worker {no,yes,Unknown}
@attribute class {Bad,Good}

@data
-2589.19,6,'critical/other existing credit',radio/tv,3234,0,>=7,0,'male single',none,4,'real estate',67,none,own,2,skilled,yes,no,Bad
53.51,48,'existing paid',radio/tv,5951,2.52,1<=X<4,2,'female div/dep/mar',none,2,Other,22,none,own,1,skilled,none,no,Bad
0,12,'critical/other existing credit',education,2096,0,4<=X<7,2,'male single',Unknown,0,'real estate',49,none,Other,1,'unskilled resident',none,no,Bad
-4695.81,42,'existing paid',furniture/equipment,7882,92.15,4<=X<7,2,'male single',guarantor,4,'life insurance',45,none,'for free',1,skilled,no,no,Bad
-9540.2,24,'delayed previously',Unknown,4870,39.81,1<=X<4,3,'male single',none,4,'no known property',53,none,'for free',2,skilled,none,no,Good
0,36,'existing paid',education,9055,0,1<=X<4,0,'male single',none,4,'no known property',35,none,'for free',1,'unskilled resident',yes,yes,Bad
0,24,'existing paid',Unknown,2835,0,>=7,3,'male single',none,4,'life insurance',31,none,Other,1,skilled,none,no,Good
38.12,36,'no credit history','used car',6948,20.69,1<=X<4,2,'male single',none,2,car,35,none,Other,1,'high qualif/self emp/mgmt',yes,yes,Bad
0,12,'existing paid',radio/tv,3059,0,Unknown,2,'male div/sep',none,4,'real estate',61,none,own,0,'unskilled resident',none,yes,Good
101.81,30,'critical/other existing credit','new car',5234,85.64,unemployed,4,'male mar/wid',none,2,car,28,none,own,2,'high qualif/self emp/mgmt',none,no,Bad
130.75,12,'existing paid','new car',1295,99.76,<1,3,'female div/dep/mar',none,0,car,31,Other,rent,1,skilled,none,yes,Bad
-1950.83,48,'existing paid',business,4308,69.51,<1,3,'female div/dep/mar',none,4,'life insurance',24,none,rent,0,skilled,none,Unknown,Good
15.12,12,'existing paid',radio/tv,1567,89.2,Unknown,1,'female div/dep/mar',none,1,car,22,none,own,1,skilled,yes,Unknown,Bad
0,24,'critical/other existing credit','new car',1199,0,>=7,4,'male single',none,0,car,60,none,own,2,'unskilled resident',none,no,Good
-6002.72,15,'existing paid','new car',1403,42.11,1<=X<4,2,Unknown,none,4,car,31,none,rent,0,skilled,none,yes,Good
-787.62,24,'existing paid',radio/tv,1282,247,Unknown,4,'female div/dep/mar',none,0,car,32,none,own,1,'unskilled resident',none,Unknown,Good
0,20,'critical/other existing credit',radio/tv,2424,0,Unknown,4,'male single',none,4,'life insurance',31,none,own,2,skilled,none,yes,Good
-9440.86,30,'no credits/all paid',business,8072,0,<1,0,'male single',none,3,car,25,bank,own,3,skilled,none,yes,Bad
64.89,24,'existing paid','used car',3234,2.66,>=7,4,'female div/dep/mar',none,2,'no known property',31,none,'for free',0,'high qualif/self emp/mgmt',yes,Unknown,Bad
0,24,'no credit history',radio/tv,3430,0,>=7,3,'male single',Unknown,2,car,31,none,own,1,skilled,yes,yes,Bad
0,20,'critical/other existing credit','new car',2134,0,1<=X<4,4,'male single',none,4,car,48,none,own,3,skilled,yes,yes,Good
-864.51,6,'existing paid',radio/tv,2647,742.31,1<=X<4,2,'male single',none,3,'real estate',44,none,rent,1,skilled,none,yes,Good
-5730.5,10,'critical/other existing credit','new car',2241,41.19,Unknown,1,'male single',Unknown,3,'real estate',48,none,rent,2,Other,none,Unknown,Bad
104.66,12,'critical/other existing credit','used car',1804,438.95,<1,3,'male single',none,4,Other,44,none,own,1,skilled,no,Unknown,Good
0,10,'critical/other existing credit',Unknown,2069,0,1<=X<4,2,'male mar/wid',none,1,car,26,none,own,2,skilled,none,yes,Bad
0,6,'existing paid',furniture/equipment,3234,0,1<=X<4,1,'male single',none,0,'real estate',36,bank,own,1,'unskilled resident',yes,no,Good
0,6,'no credits/all paid',radio/tv,426,0,Unknown,0,'male mar/wid',none,4,car,39,none,own,1,'unskilled resident',none,no,Good
2577.11,12,'all paid',radio/tv,409,2599.63,1<=X<4,3,'female div/dep/mar',none,0,'real estate',42,none,rent,2,Other,none,no,Good
184.53,7,'existing paid',radio/tv,2415,67.24,1<=X<4,0,'male single',guarantor,2,'real estate',34,none,own,0,Other,none,no,Good
-3479,60,'delayed previously',business,6836,26.85,>=7,0,'male single',none,4,'no known property',63,Other,own,2,skilled,yes,yes,Good
0,18,'existing paid',business,1913,0,Unknown,3,'male mar/wid',Unknown,3,'real estate',36,bank,own,1,skilled,yes,no,Good
-5072.05,24,'existing paid',furniture/equipment,4020,12.54,Unknown,2,'male single',none,2,car,27,stores,own,1,skilled,none,Unknown,Good
65.97,18,'existing paid','new car',5866,265.12,1<=X<4,2,'male single',none,2,car,31,none,own,2,skilled,yes,no,Bad
0,12,'critical/other existing credit',business,1264,0,Unknown,4,'male single',none,4,Other,57,none,rent,1,'unskilled resident',no,yes,Bad
978.69,12,'existing paid',furniture/equipment,3234,41.34,<1,4,'female div/dep/mar',none,1,'life insurance',33,bank,Other,1,'high qualif/self emp/mgmt',no,yes,Good
163,45,'critical/other existing credit',radio/tv,4746,0,<1,4,'male single',none,2,'life insurance',25,none,own,2,Other,none,no,Good
0,48,'critical/other existing credit',education,6110,0,1<=X<4,1,'male single',none,3,'no known property',31,bank,'for free',1,skilled,no,yes,Good
6976.08,18,'existing paid',radio/tv,2100,4.69,Unknown,4,'male single','co applicant',2,'real estate',37,stores,own,1,skilled,none,yes,Bad
5588.7,10,'existing paid','domestic appliance',1225,0,1<=X<4,2,'male single',none,0,car,37,none,own,1,skilled,yes,yes,Good
47.76,9,'existing paid',radio/tv,458,0,1<=X<4,4,'male single',none,3,'real estate',24,none,own,0,skilled,none,no,Good
0,30,'existing paid',radio/tv,2333,0,Unknown,4,'male single',none,2,car,30,bank,own,0,'high qualif/self emp/mgmt',none,no,Good
150.32,20,'existing paid',radio/tv,1158,0,1<=X<4,3,'male div/sep',none,1,car,26,none,own,0,skilled,yes,no,Bad
158.94,18,'delayed previously',repairs,6204,24.41,1<=X<4,2,'male single',none,4,'real estate',44,none,own,1,'unskilled resident',no,yes,Good
-913.07,30,'no credit history','used car',6187,224.1,4<=X<7,1,'male mar/wid',none,0,car,24,none,rent,2,skilled,none,yes,Bad
-8599.14,48,'critical/other existing credit','used car',6143,14.18,>=7,4,'female div/dep/mar',none,4,'no known property',58,stores,'for free',2,'unskilled resident',none,yes,Bad
0,11,'no credit history','new car',1393,0,<1,4,'female div/dep/mar',none,4,car,35,none,own,2,'high qualif/self emp/mgmt',none,no,Good
0,36,'no credit history',radio/tv,3234,0,>=7,4,'male single',none,4,car,39,none,own,1,skilled,none,Unknown,Good
-1631.58,6,'existing paid','used car',3234,0,unemployed,1,'female div/dep/mar',none,2,Other,23,none,rent,1,'unemp/unskilled non res',yes,yes,Bad
0,11,'critical/other existing credit','new car',7228,0,1<=X<4,1,'male single',none,4,'life insurance',39,none,Other,2,'unskilled resident',none,no,Good
0,12,'no credit history',radio/tv,2073,0,Unknown,4,'female div/dep/mar','co applicant',2,'real estate',28,none,own,1,skilled,none,no,Good
166.03,24,'delayed previously',furniture/equipment,2333,0,<1,4,'male single',none,2,Other,29,bank,own,1,'unskilled resident',none,yes,Good
180.59,27,'no credit history','used car',5965,42.7,>=7,1,'male single',none,2,car,30,none,own,0,'high qualif/self emp/mgmt',yes,no,Bad
0,12,'existing paid',radio/tv,1262,0,1<=X<4,3,'male single',none,2,car,25,none,own,1,skilled,none,no,Good
0,20,'existing paid','used car',3378,0,1<=X<4,2,'male single',none,1,Other,31,none,own,1,skilled,yes,no,Good
127.36,36,'delayed previously','new car',2225,41.6,>=7,4,'male single',none,4,'no known property',57,bank,'for free',2,skilled,no,yes,Good
0,6,'all paid','new car',783,0,Unknown,1,'male single',guarantor,2,'real estate',26,Other,own,1,'unskilled resident',none,Unknown,Good
114.16,12,'existing paid',radio/tv,6468,0,unemployed,2,Unknown,none,1,'no known property',52,none,own,1,'high qualif/self emp/mgmt',yes,no,Good
0,36,'critical/other existing credit',radio/tv,9566,0,1<=X<4,2,'female div/dep/mar',Unknown,2,car,31,Other,own,2,Other,none,no,Bad
3235.45,18,'no credit history','new car',1961,65.36,Unknown,3,'female div/dep/mar',none,2,car,23,none,own,1,'high qualif/self emp/mgmt',none,yes,Good
-9972.01,36,'critical/other existing credit',furniture/equipment,6229,35.8,<1,0,'female div/dep/mar','co applicant',4,'no known property',23,none,rent,2,'unskilled resident',no,yes,Good
75.44,9,'existing paid',business,1391,65.13,1<=X<4,2,'male mar/wid',Unknown,1,'real estate',31,bank,own,1,skilled,yes,Unknown,Good
158.6,15,'critical/other existing credit',radio/tv,1537,0,>=7,4,'male single',guarantor,4,'real estate',50,none,own,2,skilled,yes,yes,Bad
163.79,36,'no credits/all paid',business,1953,78.33,>=7,4,'male single',none,4,'no known property',61,none,'for free',1,'high qualif/self emp/mgmt',yes,no,Good
139.83,48,'no credits/all paid',business,14421,25.59,1<=X<4,2,'male single',none,2,car,25,none,own,1,skilled,yes,no,Good
0,20,'existing paid',radio/tv,3181,0,<1,0,'female div/dep/mar',none,0,'life insurance',26,none,own,1,skilled,yes,no,Good
0,27,'existing paid',repairs,5190,0,>=7,4,'male single',none,4,'life insurance',48,none,own,4,skilled,yes,yes,Bad
0,12,'existing paid',radio/tv,2171,0,Unknown,2,'female div/dep/mar',Unknown,2,car,29,bank,own,1,skilled,none,no,Bad
59.47,12,'existing paid','new car',1007,0,1<=X<4,4,'male mar/wid',Unknown,1,'real estate',31,none,own,1,skilled,none,yes,Bad
0,36,'existing paid',Unknown,1819,0,1<=X<4,4,'male single',none,4,'no known property',31,stores,'for free',0,Other,yes,yes,Good
0,36,'existing paid',radio/tv,2394,0,1<=X<4,4,'female div/dep/mar',none,4,car,25,none,own,1,skilled,none,yes,Bad
0,20,'existing paid','used car',8133,0,Unknown,0,'female div/dep/mar',none,2,'life insurance',30,Other,own,1,skilled,no,no,Bad
0,7,'critical/other existing credit',radio/tv,730,0,>=7,4,'male single',none,2,'life insurance',31,none,rent,2,'unskilled resident',yes,no,Good
0,8,'critical/other existing credit',other,1164,0,>=7,3,'male single',none,0,'no known property',51,bank,'for free',2,'high qualif/self emp/mgmt',yes,yes,Good
0,42,'no credit history',business,5954,0,4<=X<7,2,'female div/dep/mar',none,1,'real estate',41,bank,own,2,'unskilled resident',none,yes,Bad
-220.84,36,'existing paid',education,1977,0,>=7,4,'male single',none,4,'no known property',40,none,Other,0,'high qualif/self emp/mgmt',yes,yes,Bad
