location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,verified,application_date,works_outside_US
"Lehigh, PA",Pennsylvania,-2589.19,6,'critical/other existing credit',radio/tv,?,0,>=7,?,'male single',none,4,'real estate',67,none,own,2,skilled,1,yes,no,bad,?,05/07/1994,no
"Mifflin, PA",Pennsylvania,53.51,48,'existing paid',radio/tv,5951,2.52,1<=X<4,2,'female div/dep/mar',none,2,?,22,none,own,1,skilled,1,none,no,bad,?,05/08/1994,no
"Northampton, PA",Pennsylvania,0,12,'critical/other existing credit',education,2096,0,4<=X<7,2,'male single',?,?,'real estate',49,none,?,1,'unskilled resident',2,none,no,Bad,?,05/09/1994,no
"Northampton, PA",Pennsylvania,-4695.81,42,'existing paid',furniture/equipment,7882,92.15,4<=X<7,2,'male single',guarantor,4,'life insurance',45,none,'for free',1,skilled,2,?,no,Bad,?,05/10/1994,no
"Westmoreland, PA",Pennsylvania,-9540.2,24,'delayed previously',?,4870,39.81,1<=X<4,3,'male single',none,4,'no known property',53,none,'for free',2,skilled,2,none,no,Good,?,05/11/1994,no
"Westmoreland, PA",Pennsylvania,0,36,'existing paid',education,9055,0,1<=X<4,?,'male single',none,4,'no known property',35,none,'for free',1,'unskilled resident',2,yes,yes,Bad,?,05/12/1994,yes
"Philadelphia, PA",Pennsylvania,0,24,'existing paid',?,2835,0,>=7,3,'male single',none,4,'life insurance',534534,none,?,1,skilled,1,none,no,good,?,05/13/1994,no
"Allegheny, PA",Pennsylvania,38.12,36,?,'used car',6948,20.69,1<=X<4,2,'male single',none,2,car,35,none,?,1,'high qualif/self emp/mgmt',?,yes,yes,bad,?,05/14/1994,yes
"Allegheny, PA",Pennsylvania,0,12,'existing paid',radio/tv,3059,0,?,2,'male div/sep',none,4,'real estate',61,none,own,?,'unskilled resident',1,none,yes,good,?,05/15/1994,yes
"Providence, RI",Rhodes Island,101.81,30,'critical/other existing credit','new car',5234,85.64,unemployed,4,'male mar/wid',none,2,car,28,none,own,2,'high qualif/self emp/mgmt',1,none,no,Bad,?,05/16/1994,no
