state,age,housing,job,foreign_worker,class
Pennsylvania,67,own,skilled,no,Bad
Pennsylvania,22,own,skilled,no,Bad
Pennsylvania,49,Other,'unskilled resident',no,Bad
Pennsylvania,45,'for free',skilled,no,Bad
Pennsylvania,53,'for free',skilled,no,Good
Pennsylvania,35,'for free','unskilled resident',yes,Bad
Pennsylvania,31,Other,skilled,no,Good
Pennsylvania,35,Other,'high qualif/self emp/mgmt',yes,Bad
Pennsylvania,61,own,'unskilled resident',yes,Good
Rhodes Island,28,own,'high qualif/self emp/mgmt',no,Bad
South Carolina,31,rent,skilled,yes,Bad
South Carolina,24,rent,skilled,Unknown,Good
South Carolina,22,own,skilled,Unknown,Bad
South Carolina,60,own,'unskilled resident',no,Good
South Carolina,31,rent,skilled,yes,Good
South Carolina,32,own,'unskilled resident',Unknown,Good
South Carolina,31,own,skilled,yes,Good
South Carolina,25,own,skilled,yes,Bad
South Carolina,31,'for free','high qualif/self emp/mgmt',Unknown,Bad
South Carolina,31,own,skilled,yes,Bad
South Carolina,48,own,skilled,yes,Good
South Carolina,44,rent,skilled,yes,Good
South Carolina,48,rent,Other,Unknown,Bad
South Carolina,44,own,skilled,Unknown,Good
South Carolina,26,own,skilled,yes,Bad
South Carolina,36,own,'unskilled resident',no,Good
South Carolina,39,own,'unskilled resident',no,Good
South Carolina,42,rent,Other,no,Good
South Carolina,34,own,Other,no,Good
South Carolina,63,own,skilled,yes,Good
South Carolina,36,own,skilled,no,Good
South Carolina,27,own,skilled,Unknown,Good
South Carolina,31,own,skilled,no,Bad
South Dakota,57,rent,'unskilled resident',yes,Bad
South Dakota,33,Other,'high qualif/self emp/mgmt',yes,Good
Tennessee,25,own,Other,no,Good
Tennessee,31,'for free',skilled,yes,Good
Tennessee,37,own,skilled,yes,Bad
Tennessee,37,own,skilled,yes,Good
Tennessee,24,own,skilled,no,Good
Tennessee,30,own,'high qualif/self emp/mgmt',no,Good
Tennessee,26,own,skilled,no,Bad
Tennessee,44,own,'unskilled resident',yes,Good
Tennessee,24,rent,skilled,yes,Bad
Tennessee,58,'for free','unskilled resident',yes,Bad
Tennessee,35,own,'high qualif/self emp/mgmt',no,Good
Tennessee,39,own,skilled,Unknown,Good
Tennessee,23,rent,'unemp/unskilled non res',yes,Bad
Texas,39,Other,'unskilled resident',no,Good
Texas,28,own,skilled,no,Good
Texas,29,own,'unskilled resident',yes,Good
Texas,30,own,'high qualif/self emp/mgmt',no,Bad
Texas,25,own,skilled,no,Good
Texas,31,own,skilled,no,Good
Texas,57,'for free',skilled,yes,Good
Texas,26,own,'unskilled resident',Unknown,Good
Texas,52,own,'high qualif/self emp/mgmt',no,Good
Texas,31,own,Other,no,Bad
Texas,23,own,'high qualif/self emp/mgmt',yes,Good
Texas,23,rent,'unskilled resident',yes,Good
Texas,31,own,skilled,Unknown,Good
Texas,50,own,skilled,yes,Bad
Texas,61,'for free','high qualif/self emp/mgmt',no,Good
Texas,25,own,skilled,no,Good
Texas,26,own,skilled,no,Good
Texas,48,own,skilled,yes,Bad
Texas,29,own,skilled,no,Bad
Texas,31,own,skilled,yes,Bad
Texas,31,'for free',Other,yes,Good
Texas,25,own,skilled,yes,Bad
Texas,30,own,skilled,no,Bad
Texas,31,rent,'unskilled resident',no,Good
Texas,51,'for free','high qualif/self emp/mgmt',yes,Good
Texas,41,own,'unskilled resident',yes,Bad
Texas,40,Other,'high qualif/self emp/mgmt',yes,Bad
Texas,66,'for free','high qualif/self emp/mgmt',no,Good
Texas,34,Other,skilled,yes,Bad
Texas,51,own,skilled,yes,Bad
Texas,39,own,'unskilled resident',yes,Good
Texas,22,own,Other,yes,Good
Texas,44,own,skilled,no,Good
Texas,47,Other,skilled,yes,Good
Texas,24,rent,'unskilled resident',no,Bad
Texas,58,own,Other,yes,Good
Texas,52,own,'unskilled resident',no,Good
Texas,29,own,'high qualif/self emp/mgmt',yes,Good
Texas,27,own,skilled,yes,Good
Texas,47,'for free',skilled,no,Good
Texas,30,own,'high qualif/self emp/mgmt',no,Good
Texas,28,own,skilled,no,Good
Texas,56,own,skilled,no,Bad
Texas,31,own,skilled,no,Good
Utah,33,own,'unskilled resident',yes,Good
Utah,20,rent,skilled,yes,Bad
Virginia,54,own,skilled,no,Bad
Virginia,58,Other,skilled,yes,Good
Virginia,61,own,skilled,no,Good
