,duration
0,6.0
1,48.0
2,12.0
3,42.0
4,24.0
5,36.0
6,24.0
7,36.0
8,12.0
9,30.0
10,12.0
11,48.0
12,12.0
13,24.0
14,15.0
15,24.0
16,20.0
17,30.0
18,24.0
19,24.0
20,20.0
21,6.0
22,10.0
23,12.0
24,10.0
25,6.0
26,6.0
27,12.0
28,7.0
29,60.0
30,18.0
31,24.0
32,18.0
33,12.0
34,12.0
35,45.0
36,48.0
37,18.0
38,10.0
39,9.0
40,30.0
41,20.0
42,18.0
43,30.0
44,48.0
45,11.0
46,36.0
47,6.0
48,11.0
49,12.0
50,24.0
51,27.0
52,12.0
53,20.0
54,36.0
55,6.0
56,12.0
57,36.0
58,18.0
59,36.0
60,9.0
61,15.0
62,36.0
63,48.0
64,20.0
65,27.0
66,12.0
67,12.0
68,36.0
69,36.0
70,20.0
71,7.0
72,8.0
73,42.0
74,36.0
75,12.0
76,42.0
77,11.0
78,54.0
79,30.0
80,24.0
81,15.0
82,18.0
83,24.0
84,10.0
85,12.0
86,18.0
87,36.0
88,18.0
89,12.0
90,12.0
91,12.0
92,12.0
93,24.0
94,12.0
95,54.0
96,12.0
97,18.0
98,36.0
99,20.0
100,24.0
101,36.0
102,6.0
103,9.0
104,12.0
105,20.0
106,18.0
107,12.0
108,20.0
109,20.0
110,20.0
111,6.0
112,20.0
113,18.0
114,36.0
115,12.0
116,48.0
117,20.0
118,10.0
119,33.0
120,12.0
121,21.0
122,24.0
123,20.0
124,10.0
125,18.0
126,12.0
127,12.0
128,12.0
129,12.0
130,12.0
131,48.0
132,36.0
133,15.0
134,20.0
135,20.0
136,12.0
137,27.0
138,20.0
139,15.0
140,12.0
141,6.0
142,36.0
143,20.0
144,20.0
145,21.0
146,48.0
147,6.0
148,12.0
149,36.0
150,18.0
151,6.0
152,20.0
153,36.0
154,24.0
155,24.0
156,12.0
157,9.0
158,12.0
159,20.0
160,6.0
161,24.0
162,18.0
163,20.0
164,10.0
165,36.0
166,6.0
167,18.0
168,11.0
169,24.0
170,24.0
171,15.0
172,12.0
173,24.0
174,8.0
175,21.0
176,30.0
177,12.0
178,6.0
179,12.0
180,21.0
181,36.0
182,36.0
183,21.0
184,24.0
185,18.0
186,15.0
187,9.0
188,16.0
189,12.0
190,18.0
191,24.0
192,48.0
193,27.0
194,6.0
195,45.0
196,20.0
197,6.0
198,20.0
199,24.0
200,18.0
201,9.0
202,12.0
203,27.0
204,12.0
205,12.0
206,30.0
207,12.0
208,12.0
209,24.0
210,12.0
211,9.0
212,36.0
213,27.0
214,30.0
215,36.0
216,6.0
217,18.0
218,36.0
219,24.0
220,10.0
221,12.0
222,12.0
223,12.0
224,24.0
225,15.0
226,36.0
227,20.0
228,12.0
229,9.0
230,24.0
231,36.0
232,9.0
233,12.0
234,18.0
235,4.0
236,24.0
237,6.0
238,21.0
239,12.0
240,30.0
241,24.0
242,20.0
243,6.0
244,48.0
245,12.0
246,12.0
247,24.0
248,12.0
249,6.0
250,24.0
251,18.0
252,6.0
253,12.0
254,30.0
255,24.0
256,9.0
257,20.0
258,24.0
259,12.0
260,15.0
261,11.0
262,12.0
263,24.0
264,18.0
265,12.0
266,10.0
267,15.0
268,36.0
269,24.0
270,14.0
271,24.0
272,18.0
273,12.0
274,48.0
275,48.0
276,30.0
277,9.0
278,18.0
279,12.0
280,6.0
281,24.0
282,15.0
283,12.0
284,18.0
285,15.0
286,24.0
287,20.0
288,48.0
289,48.0
290,12.0
291,24.0
292,12.0
293,36.0
294,24.0
295,20.0
296,48.0
297,48.0
298,12.0
299,10.0
300,18.0
301,21.0
302,6.0
303,36.0
304,20.0
305,10.0
306,48.0
307,6.0
308,20.0
309,12.0
310,8.0
311,9.0
312,48.0
313,24.0
314,24.0
315,12.0
316,4.0
317,36.0
318,12.0
